PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,TargetRelease,Pollutant,Releases,confidentialityReason
2026/02/13,Denmark,2021,7.0,Intensive livestock production and aquaculture,7(a)(iii),DK.CAED/000091354.FACILITY,Gårdejer Jens-Axel Sørensen C/O Kodbølgaard,Ølgod,8.578221966372848,55.786748012677954,,AIR,Ammonia (NH3),18358.044,
2026/02/13,Sweden,2016,2.0,Production and processing of metals,2(b),SE.CAED/10022145.Facility,Alleima Tube AB,SANDVIKEN,16.79534,60.6167,,AIR,Mercury and compounds (as Hg),10.0,
2026/02/13,Sweden,2021,6.0,Paper and wood production and processing,6(a),SE.CAED/10017067.Facility,Södra Cell Mörrum,MÖRRUM,14.76467,56.16098,,AIR,Nitrogen oxides (NOX),698000.0,
2026/02/13,Denmark,2012,7.0,Intensive livestock production and aquaculture,7(a),DK.EEA/9065.FACILITY,Sandfeld Ei Aps,Brande,9.0349866315907,55.982954279353,,AIR,Ammonia (NH3),14100.0,
2026/02/13,Denmark,2020,5.0,Waste and wastewater management,5(b),DK.CAED/000105754.FACILITY,Kredsløb Energianlæg Skanderborg,Skanderborg,9.943225277695278,56.05186236469253,,AIR,Nitrogen oxides (NOX),85730.0,
2026/02/13,Sweden,2010,1.0,Energy sector,1(c),SE.CAED/10015102.Facility,Händelöverket,NORRKÖPING,16.23333,58.61956,,AIR,Zinc and compounds (as Zn),263.0,
2026/02/13,Denmark,2021,1.0,Energy sector,1(c),DK.CAED/000104657.FACILITY,Herningværket,Herning,9.006448600427822,56.12173431518647,,AIR,Non-methane volatile organic compounds (NMVOC),17852.652,
2026/02/13,Norway,2017,3.0,Mineral industry,3(a),NO.EEA/0000.0003.01.FACILITY,Draugen,Kristiansund N,7.780844,64.3529358,,AIR,Nitrogen oxides (NOX),1180000.0,
2026/02/13,Sweden,2017,7.0,Intensive livestock production and aquaculture,7(a)(ii),SE.CAED/10015259.Facility,Appuna,VÄDERSTAD,14.96332,58.34601,,AIR,Ammonia (NH3),35400.0,
2026/02/13,Denmark,2008,1.0,Energy sector,1(c),DK.EEA/1513.FACILITY,Vattenfall A/S                   Fynsværket,Odense C            ,10.4102116826366,55.4294116608398,,AIR,Fluorine and inorganic compounds (as HF),16900.0,
